urban_rural,review_bin,n_businesses,rating_std,mean_rating,state
rural,1–4,1,,3.7,District_of_Columbia
rural,5–9,2,1.2727922061357855,3.9,District_of_Columbia
rural,10–19,1,,4.0,District_of_Columbia
rural,20–49,0,,,District_of_Columbia
rural,50–99,1,,4.1,District_of_Columbia
rural,100–199,0,,,District_of_Columbia
rural,200–499,0,,,District_of_Columbia
rural,500–999,0,,,District_of_Columbia
rural,1000+,0,,,District_of_Columbia
urban,1–4,1274,1.0928666144477226,4.128885400313972,District_of_Columbia
urban,5–9,1731,0.758457058921141,4.101733102253033,District_of_Columbia
urban,10–19,1342,0.6910075300086856,4.161549925484352,District_of_Columbia
urban,20–49,1990,0.6608846100332598,4.116281407035176,District_of_Columbia
urban,50–99,1507,0.5942640517953266,4.161048440610484,District_of_Columbia
urban,100–199,1269,0.5082225557085801,4.2506698187549254,District_of_Columbia
urban,200–499,1110,0.4457473273720216,4.240180180180181,District_of_Columbia
urban,500–999,486,0.3432651108400828,4.284156378600823,District_of_Columbia
urban,1000+,317,0.3063236934471649,4.309463722397476,District_of_Columbia
rural,1–4,1649,0.8337044180949714,4.457731958762887,Virginia
rural,5–9,1565,0.5197764559139515,4.511246006389777,Virginia
rural,10–19,904,0.5054192227595965,4.484402654867257,Virginia
rural,20–49,951,0.4292203089402103,4.5092534174553105,Virginia
rural,50–99,559,0.39485887309830975,4.509481216457961,Virginia
rural,100–199,190,0.3492586730755058,4.488421052631579,Virginia
rural,200–499,94,0.373553796395097,4.421276595744681,Virginia
rural,500–999,12,0.27413776673693674,4.533333333333333,Virginia
rural,1000+,1,,4.6,Virginia
urban,1–4,12792,1.0061861388874804,4.2563555347091935,Virginia
urban,5–9,17840,0.7331494519928258,4.241961883408072,Virginia
urban,10–19,14158,0.6672367678954895,4.242075151857607,Virginia
urban,20–49,20580,0.6256539725165063,4.256924198250728,Virginia
urban,50–99,15881,0.5712370241745804,4.2782255525470685,Virginia
urban,100–199,12798,0.4934125501438067,4.307727769964057,Virginia
urban,200–499,12222,0.4516827715925788,4.281876943217149,Virginia
urban,500–999,5001,0.4105019269547862,4.214217156568686,Virginia
urban,1000+,2427,0.3822631096016876,4.246600741656366,Virginia
rural,1–4,353,0.827835208152451,4.476770538243626,Wyoming
rural,5–9,223,0.4385597638920721,4.509865470852018,Wyoming
rural,10–19,97,0.2814840091775739,4.637113402061856,Wyoming
rural,20–49,13,0.23858557568108968,4.6230769230769235,Wyoming
rural,50–99,0,,,Wyoming
rural,100–199,0,,,Wyoming
rural,200–499,0,,,Wyoming
rural,500–999,0,,,Wyoming
rural,1000+,0,,,Wyoming
urban,1–4,1774,0.9349986685931013,4.356651634723788,Wyoming
urban,5–9,2155,0.6424814228080302,4.355870069605568,Wyoming
urban,10–19,1511,0.5586145530903718,4.364129715420251,Wyoming
urban,20–49,2066,0.5138008384343518,4.376427879961279,Wyoming
urban,50–99,1388,0.46778503978589653,4.355547550432276,Wyoming
urban,100–199,1066,0.4712969311689993,4.298874296435272,Wyoming
urban,200–499,948,0.4220031417026367,4.262236286919831,Wyoming
urban,500–999,356,0.41492748810240565,4.217696629213483,Wyoming
urban,1000+,135,0.4362106286513078,4.209629629629629,Wyoming
